19/04/26;;14h30;;Local: Ginásio do Acadêmicos da Cidade Dutra;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 031;;;;AE FRIBURGO;;;;;;;;vs;AE METRÓPOLE;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Ginásio CDC Unileste;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 032;;;;AE RAPOSAS DA LESTE;;;;;;;;vs;C13 ESPORTES;;;;;;;;;;;;;;;;;
19/04/26;;15h00;;Local: Ginásio CIE Pietra Medeiros;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 033;;;;CFAF/TABOÃO;;;;;;;;vs;JUBA FUTSAL;;;;;;;;;;;;;;;;;
INST BONS DE BOLA/CONEXÃO 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2ª RODADA - Grupo C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/26;;8h30;;Local: Ginásio de Esportes Tobias Salgado - AAF;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 034;;;;AA FERROVIÁRIA/SEMELP PINDA;;;;;;;;vs;ACAP;;;;;;;;;;;;;;;;;
18/04/26;;14h00;;Local: Ginásio Prof. João Carlos de Camargo - Votorantim;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 035;;;;AE FUTMAX;;;;;;;;vs;A UNIÃO MAUÁ;;;;;;;;;;;;;;;;;
18/04/26;;14h30;;Local: Ginásio Sindicato dos Metalurgicos - Guarulhos;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 036;;;;KILOUKURA FUTSAL;;;;;;;;vs;EVY GUAIANASES FUTSAL;;;;;;;;;;;;;;;;;
19/04/26;;08h30;;Local: Ginasio Ciro II;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 037;;;;AE DISCÍPULOS DO FUTSAL;;;;;;;;vs;AD GALATA;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Ginásio Vila Aparecida - Taubaté;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 038;;;;ABESC/CAÇAPAVA FUTSAL;;;;;;;;vs;OCIAN PRAIA CLUBE/AJR;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Ginásio Poliesportivo Victor Savala;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 039;;;;PROSPERE HORTOLÂNDIA;;;;;;;;vs;ROSA NEGRA/IPASURE;;;;;;;;;;;;;;;;;
19/04/26;;14h30;;Local: Arena CTC Vila Ema;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 040;;;;AEC INCRÍVEIS;;;;;;;;vs;EF ATLÉTICO MANGALOT;;;;;;;;;;;;;;;;;
3ª RODADA - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/04/26;;8h30;;Local: Ginásio Presidente Ciro I;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 041;;;;ADC LAZULI;;;;;;;;vs;AE CHUTE FUTSAL;;;;;;;;;;;;;;;;;
21/04/26;;08h30;;Local: Ginásio do Colégio Santa Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 042;;;;A LIGA LESTE;;;;;;;;vs;MX7 FUTSAL;;;;;;;;;;;;;;;;;
21/04/26;;14h00;;Local: Ginásio de Esportes Edson Antão de Souza;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 043;;;;CA DESPORTIVO SOROCABA;;;;;;;;vs;AA CAMILÓPOLIS;;;;;;;;;;;;;;;;;
21/04/26;;14h00;;Local:  Ginásio José Aparecido Franco - Atibaia Jardim;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 044;;;;ATIBAIA FUTSAL;;;;;;;;vs;ITAPEVI/LAIFS/SEL;;;;;;;;;;;;;;;;;
21/04/26;;14h00;;Local: Ginásio Educamais;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 045;;;;AA ALIANÇA/JACAREÍ;;;;;;;;vs;AA FLAMENGO;;;;;;;;;;;;;;;;;
21/04/26;;14h30;;Local: Ginásio CDC Unileste;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 046;;;;UNILESTE/PONTO DE ENCONTRO;;;;;;;;vs;AECT BOLA NO PÉ;;;;;;;;;;;;;;;;;
21/04/26;;14h30;;Local:  Arena Guarulhense;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 047;;;;GUARULHENSE;;;;;;;;vs;CTC VILA EMA;;;;;;;;;;;;;;;;;
Folga: LIGA SOROCABANA/KGB FUTSAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3ª RODADA - Grupo B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/04/26;;08h30;;Local: Ginásio Sport Nico;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 048;;;;AE METRÓPOLE;;;;;;;;vs;ASTROS/INDIANO;;;;;;;;;;;;;;;;;
21/04/26;;08h30;;Local: Ginasio dos Securitarios;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 049;;;;INST BONS DE BOLA;;;;;;;;vs;AE RAPOSAS DA LESTE;;;;;;;;;;;;;;;;;
21/04/26;;14h00;;Local: Ginásio Agostinho Fávaro;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 050;;;;SC PAULINENSE;;;;;;;;vs;TABOÃO F9;;;;;;;;;;;;;;;;;
21/04/26;;14h00;;Local: Ginásio Cidade Nova - Pindamonhangaba;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 051;;;;INST FAMÍLIA/LORENA;;;;;;;;vs;CFAF/TABOÃO;;;;;;;;;;;;;;;;;
21/04/26;;8h30;;Local: Arena Conde;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 052;;;;"SELECIONADOS ""B""";;;;;;;;vs;AD OLIMPIK;;;;;;;;;;;;;;;;;
21/04/26;;14h30;;Local: Ginásio Rubens Batazza - Bragança Paulista;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 053;;;;JUBA FUTSAL;;;;;;;;vs;ADEF;;;;;;;;;;;;;;;;;
21/04/26;;8h30;;Local: Ginásio dos Securitários;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 054;;;;C13 ESPORTES;;;;;;;;vs;AE FRIBURGO;;;;;;;;;;;;;;;;;
AE CAPÃO BONITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grupo C - Isento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Copa União - 25 e 26/04/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4ª RODADA - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/05/26;;8h30;;Local: Ginásio Presidente Ciro II;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 055;;;;AECT BOLA NO PÉ;;;;;;;;vs;GUARULHENSE;;;;;;;;;;;;;;;;;
02/05/26;;09h00;;Local: Arena CIEF - Parque da Cohab;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 056;;;;ITAPEVI/LAIFS/SEL;;;;;;;;vs;AA ALIANÇA/JACAREÍ;;;;;;;;;;;;;;;;;
03/05/26;;08h30;;Local: Arena CTC Vila Ema;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 057;;;;CTC VILA EMA;;;;;;;;vs;ADC LAZULI;;;;;;;;;;;;;;;;;
03/05/26;;14h00;;Local: Arena Mirante dos Ovines;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 058;;;;LIGA SOROCABANA/KGB FUTSAL;;;;;;;;vs;CA DESPORTIVO SOROCABA;;;;;;;;;;;;;;;;;
03/05/26;;14h30;;Local: Ginásio Mané Garrincha;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 059;;;;MX7 FUTSAL;;;;;;;;vs;UNILESTE/PONTO DE ENCONTRO;;;;;;;;;;;;;;;;;
03/05/26;;14h30;;Local: Arena 4G;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 060;;;;AA FLAMENGO;;;;;;;;vs;A LIGA LESTE;;;;;;;;;;;;;;;;;
03/05/26;;14h30;;Local: Ginásio Noêmia Assunção;;;;;;;;;;;;;;;;;;;;;;;;;;
